Hs-PLTP,2000,1000,T101393-PLTP,"p1@PLTP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T011776,t101393,2,008.0000,1.0,p1@ADAMTS15,170689,16305,Q8TE58,ADAMTS15,"ADAM metallopeptidase with thrombospondin type 1 motif 15","gene with protein product"
459,T000672,t101393,1,448.0000,0.721115537849,p3@SH3PXD2A,9644,23664,Q5TCZ1,SH3PXD2A,"SH3 and PX domains 2A","gene with protein product"
460,T012925,t101393,1,444.0000,0.720918622067,p37@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
461,T071775,t101393,1,446.0000,0.720478325859,"p1@ADAT3,p1@SCAMP4","113178,113179","30385,25151","Q969E2,F8WDW4",SCAMP4,"secretory carrier membrane protein 4","gene with protein product"
462,T101393,t172758,1,445.0000,0.719621513944,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
463,T101393,t109009,1,442.0000,0.718843469591,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
464,T101393,t118735,1,438.0000,0.717923115327,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
465,T101393,t167432,1,445.0000,0.71783407849,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
466,T072539,t101393,1,442.0000,0.717770034843,p2@C19orf12,83636,25443,,C19orf12,"chromosome 19 open reading frame 12","gene with protein product"
467,T101393,t164972,1,441.0000,0.717272274764,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
468,T051066,t101393,1,438.0000,0.71649227703,p1@ORAI3,93129,28185,"Q9BRQ5,B4DPC5",ORAI3,"ORAI calcium release-activated calcium modulator 3","gene with protein product"
469,T101393,t130025,1,439.0000,0.716276754604,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
470,T088544,t101393,1,429.0000,0.713429855217,p3@SLC41A1,254428,19429,Q8IVJ1,SLC41A1,"solute carrier family 41 member 1","gene with protein product"
471,T041668,t101393,1,436.0000,0.713363139593,p1@OTUB2,78990,20351,Q96DC9,OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2","gene with protein product"
472,T101393,t121060,1,427.0000,0.711365902293,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
473,T080590,t101393,1,426.0000,0.710867397807,p19@ADORA3,140,268,,ADORA3,"adenosine A3 receptor","gene with protein product"
474,T101393,t136345,1,426.0000,0.709805873569,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
475,T101393,t107822,1,429.0000,0.70953326713,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
476,T075875,t101393,1,423.0000,0.709018435476,p1@CCDC8,83987,25367,"Q9H0W5,F5GX02",CCDC8,"coiled-coil domain containing 8","gene with protein product"
477,T028324,t101393,1,421.0000,0.708728179551,p2@MLF2,8079,7126,,MLF2,"myeloid leukemia factor 2","gene with protein product"
478,T012919,t101393,1,422.0000,0.707462686567,p44@IGF2,3481,5466,,IGF2,"insulin like growth factor 2","gene with protein product"
479,T101393,t121434,1,419.0000,0.706673306773,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
480,T094979,t101393,1,421.0000,0.706613625062,p1@LRRC41,10489,16917,"B5MD92,E9PE58",LRRC41,"leucine rich repeat containing 41","gene with protein product"
481,T082884,t101393,1,419.0000,0.705619094978,p3@NPR1,4881,7943,P16066,NPR1,"natriuretic peptide receptor 1","gene with protein product"
482,T055151,t101393,1,418.0000,0.705121829935,p3@CARHSP1,23589,17150,Q9Y2V2,CARHSP1,"calcium regulated heat stable protein 1","gene with protein product"
483,T080591,t101393,1,415.0000,0.704330512693,p5@ADORA3,140,268,,ADORA3,"adenosine A3 receptor","gene with protein product"
484,T039251,t101393,1,412.0000,0.703888334995,p19@TMEM30B,161291,27254,,TMEM30B,"transmembrane protein 30B","gene with protein product"
485,T101393,t135227,1,413.0000,0.703685258964,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
486,T085555,t101393,1,412.0000,0.703537618336,p2@FMO1,2326,3769,,FMO1,"flavin containing monooxygenase 1","gene with protein product"
487,T012923,t101393,1,414.0000,0.703132769766,p64@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
488,T064170,t101393,1,412.0000,0.702837232454,p7@TIMP2,7077,11821,,TIMP2,"TIMP metallopeptidase inhibitor 2","gene with protein product"
489,T101393,t165956,1,408.0000,0.702594810379,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
490,T093665,t101393,1,415.0000,0.70223325062,p2@ZNF362,149076,18079,F5H055,ZNF362,"zinc finger protein 362","gene with protein product"
491,T093396,t101393,1,405.0000,0.700748129676,p2@COL16A1,1307,2193,,COL16A1,"collagen type XVI alpha 1 chain","gene with protein product"
492,T082883,t101393,1,404.0000,0.700249376559,p4@NPR1,4881,7943,P16066,NPR1,"natriuretic peptide receptor 1","gene with protein product"
493,T101393,t191244,1,406.0000,0.700199203187,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
494,T002111,t101393,1,406.0000,0.699850671976,p1@LHPP,64077,30042,"Q9H008,Q5T1Z0",LHPP,"phospholysine phosphohistidine inorganic pyrophosphate phosphatase","gene with protein product"
495,T063505,t101393,1,405.0000,0.699701195219,p5@PRCD,768206,32528,F2Z3B2,PRCD,"photoreceptor disc component","gene with protein product"
496,T090856,t101393,1,407.0000,0.69930417495,p9@C1QB,713,1242,P02746,C1QB,"complement C1q B chain","gene with protein product"
497,T101393,t165957,1,405.0000,0.699004975124,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
498,T017354,t101393,1,401.0000,0.697014925373,p3@CCS,9973,1613,,CCS,"copper chaperone for superoxide dismutase","gene with protein product"
499,T019340,t101393,1,395.0000,0.695760598504,p5@TMEM135,65084,26167,F5H254,TMEM135,"transmembrane protein 135","gene with protein product"
500,T101393,t130017,1,390.0000,0.693266832918,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
501,T101393,t191270,1,392.0000,0.693227091633,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
502,T037047,t101393,1,392.0000,0.692882030861,p18@PABPN1,8106,8565,B4DEH8,PABPN1,"poly(A) binding protein nuclear 1","gene with protein product"
503,T101393,t125707,1,388.0000,0.690890990543,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
504,T080258,t101393,1,389.0000,0.69001490313,p2@GSTM4,2948,4636,A6NNT0,GSTM4,"glutathione S-transferase mu 4","gene with protein product"
505,T077910,t101393,1,385.0000,0.689741035857,p3@LILRB5,10990,6609,Q8NF80,LILRB5,"leukocyte immunoglobulin like receptor B5","gene with protein product"
506,T077911,t101393,1,382.0000,0.689620758483,p1@LILRB5,10990,6609,"C9JMK7,Q8NF80",LILRB5,"leukocyte immunoglobulin like receptor B5","gene with protein product"
507,T025881,t101393,1,383.0000,0.68908819133,p6@METTL7A,25840,24550,,METTL7A,"methyltransferase like 7A","gene with protein product"
508,T101393,t152193,1,385.0000,0.689054726368,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
509,T019068,t101393,1,380.0000,0.687593423019,p1@EFCAB4A,283229,28703,,CRACR2B,"calcium release activated channel regulator 2B","gene with protein product"
510,T058871,t101393,1,381.0000,0.687064676617,p1@AOC3,8639,550,Q16853,AOC3,"amine oxidase, copper containing 3","gene with protein product"
511,T058872,t101393,1,377.0000,0.685756972112,p2@AOC3,8639,550,Q16853,AOC3,"amine oxidase, copper containing 3","gene with protein product"
512,T101393,t177567,1,377.0000,0.685756972112,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
513,T007810,t101393,1,371.0000,0.684131736527,p1@RNLS,55328,25641,Q5VYX0,RNLS,"renalase, FAD dependent amine oxidase","gene with protein product"
514,T018462,t101393,1,371.0000,0.682768924303,p1@SLCO2B1,11309,10962,E9PPU8,SLCO2B1,"solute carrier organic anion transporter family member 2B1","gene with protein product"
515,T101393,t149779,1,367.0000,0.681455633101,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
516,T101393,t109986,1,368.0000,0.680597014925,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
517,T101393,t129458,1,366.0000,0.680278884462,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
518,T101393,t130074,1,364.0000,0.679960119641,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
519,T101393,t155858,1,363.0000,0.678784860558,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
520,T080585,t101393,1,355.0000,0.675137020429,p1@ADORA3,140,268,,ADORA3,"adenosine A3 receptor","gene with protein product"
521,T090821,t101393,1,351.0000,0.673479561316,p1@C1QC,714,1245,P02747,C1QC,"complement C1q C chain","gene with protein product"
522,T101393,t136210,1,349.0000,0.671478347437,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
523,T012920,t101393,1,344.0000,0.669322709163,p38@IGF2,3481,5466,,IGF2,"insulin like growth factor 2","gene with protein product"
524,T048268,t101393,1,341.0000,0.669161676647,p7@NR2F2,7026,7976,"F1D8R0,P24468",NR2F2,"nuclear receptor subfamily 2 group F member 2","gene with protein product"
525,T079502,t101393,1,338.0000,0.667998002996,p1@CFD,1675,2771,P00746,CFD,"complement factor D","gene with protein product"
526,T027866,t101393,1,346.0000,0.667658730159,p4@TNFRSF1A,7132,11916,F5H6Z2,TNFRSF1A,"TNF receptor superfamily member 1A","gene with protein product"
527,T006314,t101393,1,338.0000,0.666999002991,p1@COL13A1,1305,2190,"Q5TAT6,E7EX21",COL13A1,"collagen type XIII alpha 1 chain","gene with protein product"
528,T011646,t101393,1,332.0000,0.663677130045,p2@TP53AIP1,63970,29984,,TP53AIP1,"tumor protein p53 regulated apoptosis inducing protein 1","gene with protein product"
529,T057421,t101393,1,328.0000,0.663336663337,p5@CCL18,6362,10616,P55774,CCL18,"C-C motif chemokine ligand 18","gene with protein product"
530,T101393,t109418,1,332.0000,0.6623570363,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
531,T077992,t101393,1,328.0000,0.662344139651,p2@CDC42EP5,148170,17408,,CDC42EP5,"CDC42 effector protein 5","gene with protein product"
532,T101393,t130045,1,330.0000,0.661691542289,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
533,T000918,t101393,1,328.0000,0.660367976131,p11@XPNPEP1,7511,12822,,XPNPEP1,"X-prolyl aminopeptidase 1","gene with protein product"
534,T101393,t125657,1,329.0000,0.659880834161,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
535,T090858,t101393,1,327.0000,0.659870711089,p10@C1QB,713,1242,P02746,C1QB,"complement C1q B chain","gene with protein product"
536,T101393,t103720,1,323.0000,0.659192825112,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
537,T012928,t101393,1,325.0000,0.658876181004,p54@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
538,T057422,t101393,1,324.0000,0.658706467662,p6@CCL18,6362,10616,P55774,CCL18,"C-C motif chemokine ligand 18","gene with protein product"
539,T057419,t101393,1,326.0000,0.658064516129,p1@CCL18,6362,10616,P55774,CCL18,"C-C motif chemokine ligand 18","gene with protein product"
540,T000380,t101393,1,321.0000,0.657868525896,p5@LDB1,8861,6532,,LDB1,"LIM domain binding 1","gene with protein product"
541,T025879,t101393,1,323.0000,0.657228017884,p1@METTL7A,25840,24550,B4DDW1,METTL7A,"methyltransferase like 7A","gene with protein product"
542,T015702,t101393,1,321.0000,0.656887120835,p8@FADS1,3992,3574,,FADS1,"fatty acid desaturase 1","gene with protein product"
543,T063765,t101393,1,310.0000,0.652390438247,p10@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
544,T101393,t167096,1,309.0000,0.651892430279,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
545,T101393,t182141,1,309.0000,0.650919940328,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
546,T080589,t101393,1,305.0000,0.649900398406,p4@ADORA3,140,268,,ADORA3,"adenosine A3 receptor","gene with protein product"
547,T027301,t101393,1,303.0000,0.649551345962,p4@LRP1,4035,6692,Q7Z7K9,LRP1,"LDL receptor related protein 1","gene with protein product"
548,T012939,t101393,1,304.0000,0.649079143853,p43@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
549,T059238,t101393,1,304.0000,0.648433615117,p4@FZD2,2535,4040,"Q14332,Q86UZ8",FZD2,"frizzled class receptor 2","gene with protein product"
550,T101393,t167109,1,300.0000,0.647732934728,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
551,T046650,t101393,1,296.0000,0.647352647353,p1@CSPG4,1464,2466,Q6UVK1,CSPG4,"chondroitin sulfate proteoglycan 4","gene with protein product"
552,T090420,t101393,1,299.0000,0.645947289906,p2@EPHX1,2052,3401,"P07099,B1AQP9,B2R8N0",EPHX1,"epoxide hydrolase 1","gene with protein product"
553,T083585,t101393,1,298.0000,0.645771144279,p1@C1orf85,112770,29436,Q8WWB7,GLMP,"glycosylated lysosomal membrane protein","gene with protein product"
554,T101393,t153154,1,294.0000,0.645064805583,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
555,T084703,t101393,1,295.0000,0.644278606965,p1@NIT1,4817,7828,"B1AQP4,Q86X76,B7Z410",NIT1,"nitrilase 1","gene with protein product"
556,T036847,t101393,1,295.0000,0.644278606965,p1@ABHD4,63874,20154,"Q8TB40,B4DDH7,F5H067,F5H6T0",ABHD4,"abhydrolase domain containing 4","gene with protein product"
557,T075349,t101393,1,292.0000,0.643106022897,p5@BCL3,602,998,,BCL3,"B-cell CLL/lymphoma 3","gene with protein product"
558,T090847,t101393,1,286.0000,0.640757349278,p5@C1QB,713,1242,"P02746,D6RA08",C1QB,"complement C1q B chain","gene with protein product"
559,T073263,t101393,1,287.0000,0.640617222499,p1@ETV2,2116,3491,O00321,ETV2,"ETS variant 2","gene with protein product"
560,T101393,t164269,1,286.0000,0.640438247012,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
561,T101393,t109987,1,283.0000,0.638944223108,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
562,T020179,t101393,1,279.0000,0.638223552894,p4@IGF1,3479,5464,P05019,IGF1,"insulin like growth factor 1","gene with protein product"
563,T064217,t101393,1,280.0000,0.637132901941,p2@LGALS3BP,3959,6564,B4DVE1,LGALS3BP,"galectin 3 binding protein","gene with protein product"
564,T016351,t101393,1,284.0000,0.636588993555,p3@DNAJC4,3338,5271,Q96FY5,DNAJC4,"DnaJ heat shock protein family (Hsp40) member C4","gene with protein product"
565,T101393,t198312,1,278.0000,0.636454183267,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
566,T090805,t101393,1,278.0000,0.636454183267,p5@C1QA,712,1241,,C1QA,"complement C1q A chain","gene with protein product"
567,T007422,t101393,1,277.0000,0.635323383085,p1@C10orf57,80195,25804,"Q5JTC0,Q5JTC1,Q8TBM7",TMEM254,"transmembrane protein 254","gene with protein product"
568,T101393,t125836,1,274.0000,0.634778276034,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
569,T012973,t101393,1,274.0000,0.633830845771,p35@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
570,T000919,t101393,1,270.0000,0.63184079602,p12@XPNPEP1,7511,12822,,XPNPEP1,"X-prolyl aminopeptidase 1","gene with protein product"
571,T012369,t101393,1,263.0000,0.629925187032,p14@CTSD,1509,2529,P07339,CTSD,"cathepsin D","gene with protein product"
572,T076558,t101393,1,262.0000,0.629112662014,p1@NUCB1,4924,8043,"Q02818,F8WB20,C9JKZ2",NUCB1,"nucleobindin 1","gene with protein product"
573,T101393,t189719,1,260.0000,0.62874251497,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
574,T023541,t101393,1,260.0000,0.627490039841,p7@EPS8,2059,3420,"Q12929,F5H819,B4E3T6",EPS8,"epidermal growth factor receptor pathway substrate 8","gene with protein product"
575,T057516,t101393,1,259.0000,0.626992031873,p2@CTNS,1497,2518,"F5H4I4,F8W6Z1,C9JMM9",CTNS,"cystinosin, lysosomal cystine transporter","gene with protein product"
576,T101393,t120910,1,254.0000,0.626060908637,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
577,T101393,t135870,1,258.0000,0.625870646766,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
578,T060245,t101393,1,256.0000,0.62518666003,p2@PDK2,5164,8810,,PDK2,"pyruvate dehydrogenase kinase 2","gene with protein product"
579,T101393,t190191,1,253.0000,0.624626121635,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
580,T101393,t111633,1,252.0000,0.623505976096,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
581,T037437,t101393,1,253.0000,0.623383084577,p1@NYNRIN,57523,20165,Q9P2P1,NYNRIN,"NYN domain and retroviral integrase containing","gene with protein product"
582,T090823,t101393,1,248.0000,0.622754491018,p2@C1QC,714,1245,,C1QC,"complement C1q C chain","gene with protein product"
583,T101393,t121071,1,245.0000,0.620328849028,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
584,T077048,t101393,1,242.0000,0.617910447761,p1@C19orf63,284361,27609,Q5UCC4,EMC10,"ER membrane protein complex subunit 10","gene with protein product"
585,T101393,t111938,1,240.0000,0.616302186879,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
586,T040277,t101393,1,237.0000,0.614811133201,p1@PAPLN,89932,19262,"C9JMX3,O95428,B3KXI1",PAPLN,"papilin, proteoglycan like sulfated glycoprotein","gene with protein product"
587,T101393,t125638,1,234.0000,0.614235938278,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
588,T012971,t101393,1,234.0000,0.614235938278,p20@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
589,T017640,t101393,1,229.0000,0.613273453094,p2@GSTP1,2950,4638,,GSTP1,"glutathione S-transferase pi 1","gene with protein product"
590,T031342,t101393,1,230.0000,0.612549800797,p7@COL4A2,1284,2203,A2A352,COL4A2,"collagen type IV alpha 2 chain","gene with protein product"
591,T055955,t101393,1,229.0000,0.61235675137,p2@PEMT,10400,8830,C9JBG1,PEMT,"phosphatidylethanolamine N-methyltransferase","gene with protein product"
592,T101393,t143327,1,227.0000,0.611665004985,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
593,T101393,t165749,1,224.0000,0.609865470852,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
594,T010127,t101393,1,222.0000,0.608565737052,p10@SIDT2,51092,24272,Q8NBJ9,SIDT2,"SID1 transmembrane family member 2","gene with protein product"
595,T062691,t101393,1,217.0000,0.607892107892,p1@PHF23,79142,28428,C9J6D8,PHF23,"PHD finger protein 23","gene with protein product"
596,T079062,t101393,1,220.0000,0.606965174129,p2@C3,718,1318,P01024,C3,"complement C3","gene with protein product"
597,T101393,t136018,1,222.0000,0.606752730884,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
598,T101393,t193271,1,217.0000,0.605774016924,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
599,T012367,t101393,1,214.0000,0.604882909816,p1@CTSD,1509,2529,F8WD96,CTSD,"cathepsin D","gene with protein product"
600,T020182,t101393,1,212.0000,0.604488778055,p1@IGF1,3479,5464,P05019,IGF1,"insulin like growth factor 1","gene with protein product"
601,T048145,t101393,1,213.0000,0.603182496271,p2@RGMA,56963,30308,"F5GZU6,G3V545,Q96B86",RGMA,"repulsive guidance molecule family member a","gene with protein product"
602,T090852,t101393,1,210.0000,0.602589641434,p15@C1QB,713,1242,,C1QB,"complement C1q B chain","gene with protein product"
603,T063509,t101393,1,208.0000,0.602493765586,p6@CYGB,114757,16505,Q8WWM9,CYGB,cytoglobin,"gene with protein product"
604,T049691,t101393,1,210.0000,0.602289696366,p5@DCUN1D3,123879,28734,Q8IWE4,DCUN1D3,"defective in cullin neddylation 1 domain containing 3","gene with protein product"
605,T075872,t101393,1,206.0000,0.601196410768,p5@CCDC8,83987,25367,F5GX02,CCDC8,"coiled-coil domain containing 8","gene with protein product"
606,T101393,t149684,1,208.0000,0.600995024876,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
607,T101393,t107857,1,208.0000,0.600696171059,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
608,T019604,t101393,1,204.0000,0.599004975124,p3@AP2A2,161,562,,AP2A2,"adaptor related protein complex 2 alpha 2 subunit","gene with protein product"
609,T084370,t101393,1,201.0000,0.598405580468,p1@PIGM,93183,18858,Q9H3S5,PIGM,"phosphatidylinositol glycan anchor biosynthesis class M","gene with protein product"
610,T101393,t134828,1,202.0000,0.598307615729,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
611,T101393,t168637,1,195.0000,0.596009975062,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
612,T020791,t101393,1,195.0000,0.594823295172,p2@UNG,7374,12572,"Q68DM5,B4DRT6,F5GYA2,P13051",UNG,"uracil DNA glycosylase","gene with protein product"
613,T101393,t154119,1,193.0000,0.594715852443,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
614,T082115,t101393,1,192.0000,0.594217347956,p2@C1orf54,79630,26258,Q8WWF1,C1orf54,"chromosome 1 open reading frame 54","gene with protein product"
615,T101393,t150575,1,194.0000,0.594029850746,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
616,T101393,t198208,1,186.0000,0.591226321037,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
617,T012926,t101393,1,184.0000,0.590523690773,p55@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
618,T027865,t101393,1,187.0000,0.589667163438,p2@TNFRSF1A,7132,11916,"F5H6Z2,F5H061",TNFRSF1A,"TNF receptor superfamily member 1A","gene with protein product"
619,T072776,t101393,1,181.0000,0.589321357285,p1@PEPD,5184,8840,"P12955,A8MX47,E9PCE8,B4DDB7",PEPD,"peptidase D","gene with protein product"
620,T027291,t101393,1,180.0000,0.587942202292,p2@STAT6,6778,11368,"G3V568,G3V5I8",STAT6,"signal transducer and activator of transcription 6","gene with protein product"
621,T101393,t131590,1,184.0000,0.587884806356,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
622,T079284,t101393,1,172.0000,0.583956153463,p3@CD209,30835,1641,"Q9NNX6,G5E9C4,F5H0Y7,B2R907,B4E2A8",CD209,"CD209 molecule","gene with protein product"
623,T101393,t108886,1,171.0000,0.583167330677,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
624,T060436,t101393,1,175.0000,0.582837301587,p65@COL1A1,1277,2197,,COL1A1,"collagen type I alpha 1 chain","gene with protein product"
625,T050806,t101393,1,172.0000,0.582215598609,p2@MAPK3,5595,6877,"E9PRH7,B3KR49",MAPK3,"mitogen-activated protein kinase 3","gene with protein product"
626,T063506,t101393,1,167.0000,0.580886012942,p22@CYGB,114757,16505,Q8WWM9,CYGB,cytoglobin,"gene with protein product"
627,T050550,t101393,1,164.0000,0.580259222333,p5@FLYWCH2,114984,25178,Q96CP2,FLYWCH2,"FLYWCH family member 2","gene with protein product"
628,T019605,t101393,1,160.0000,0.57855361596,p7@AP2A2,161,562,,AP2A2,"adaptor related protein complex 2 alpha 2 subunit","gene with protein product"
629,T002015,t101393,1,161.0000,0.578475336323,p2@BUB3,9184,1151,O43684,BUB3,"BUB3, mitotic checkpoint protein","gene with protein product"
630,T012885,t101393,1,163.0000,0.578319244157,p11@IGF2,3481,5466,P09565,IGF2,"insulin like growth factor 2","gene with protein product"
631,T101393,t149496,1,161.0000,0.57703777336,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
632,T080254,t101393,1,160.0000,0.576540755467,"p2@GSTM2,p5@GSTM4","2948,2946","4636,4634",Q03013,GSTM4,"glutathione S-transferase mu 4","gene with protein product"
633,T101393,t130024,1,150.0000,0.572994519183,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
634,T016762,t101393,1,144.0000,0.569154228856,p4@POLA2,23649,30073,,POLA2,"DNA polymerase alpha 2, accessory subunit","gene with protein product"
635,T101393,t111630,1,140.0000,0.568295114656,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
636,T101393,t175694,1,141.0000,0.568227091633,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
637,T026427,t101393,1,139.0000,0.567796610169,p7@CSAD,51380,18966,B4DL84,CSAD,"cysteine sulfinic acid decarboxylase","gene with protein product"
638,T101393,t107193,1,130.0000,0.564435564436,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
639,T030961,t101393,1,134.0000,0.563898557931,p10@ZIC2,7546,12873,O95409,ZIC2,"Zic family member 2","gene with protein product"
640,T070829,t101393,1,130.0000,0.56302939711,p1@ILVBL,10994,6041,"C9JNI8,E9PL44",ILVBL,"ilvB acetolactate synthase like","gene with protein product"
641,T101393,t162918,1,128.0000,0.561752988048,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
642,T025878,t101393,1,126.0000,0.561596009975,p4@METTL7A,25840,24550,Q9H8H3,METTL7A,"methyltransferase like 7A","gene with protein product"
643,T101393,t150962,1,126.0000,0.561316051844,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
644,T024426,t101393,1,124.0000,0.5592039801,p4@FKBP4,2288,3720,,FKBP4,"FK506 binding protein 4","gene with protein product"
