Hs-PRMT7,2000,1000,T053289-PRMT7,"p3@PRMT7"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T048426,t053289,2,007.0000,1.0,p29@IGF1R,3480,5465,,IGF1R,"insulin like growth factor 1 receptor","gene with protein product"
317,T053289,t153791,1,555.0000,0.773247140726,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
318,T053289,t141935,1,551.0000,0.773180458624,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
319,T053289,t182465,1,550.0000,0.771912350598,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
320,T053289,t082064,1,545.0000,0.76980568012,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
321,T004228,t053289,1,546.0000,0.769154228856,p4@ARHGAP12,94134,16348,"Q8IWW6,Q504X1",ARHGAP12,"Rho GTPase activating protein 12","gene with protein product"
322,T030566,t053289,1,546.0000,0.768771755346,p1@DDX12P,,2737,,DDX12P,"DEAD/H-box helicase 12, pseudogene",pseudogene
323,T053289,t198270,1,541.0000,0.766666666667,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
324,T053289,t079386,1,534.0000,0.76432486298,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
325,T053289,t060002,1,535.0000,0.76406172225,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
326,T034747,t053289,1,530.0000,0.762711864407,p7@SOX21,11166,11197,Q9Y651,SOX21,"SRY-box 21","gene with protein product"
327,T053289,t198276,1,533.0000,0.762307309796,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
328,T053289,t187928,1,530.0000,0.761194029851,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
329,T053289,t081091,1,525.0000,0.760598503741,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
330,T053289,t060074,1,528.0000,0.760577401692,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
331,T053289,t060008,1,524.0000,0.760099750623,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
332,T053289,t138908,1,527.0000,0.759701492537,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
333,T053289,t078613,1,529.0000,0.75956284153,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
334,T053289,t175494,1,524.0000,0.758208955224,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
335,T053289,t179711,1,523.0000,0.758088601294,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
336,T053289,t149268,1,519.0000,0.757605985037,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
337,T053289,t085698,1,518.0000,0.75748502994,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
338,T014058,t053289,1,521.0000,0.757093081135,p5@PRR5L,79899,25878,Q6MZQ0,PRR5L,"proline rich 5 like","gene with protein product"
339,T053289,t073556,1,521.0000,0.75671641791,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
340,T053289,t149240,1,522.0000,0.75608544461,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
341,T053289,t156728,1,514.0000,0.754359740907,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
342,T050063,t053289,1,518.0000,0.753723932473,p1@C16orf59,80178,25849,Q7L2K0,C16orf59,"chromosome 16 open reading frame 59","gene with protein product"
343,T028377,t053289,1,512.0000,0.7533632287,p14@PTMS,5763,9629,,PTMS,parathymosin,"gene with protein product"
344,T053289,t180680,1,513.0000,0.753111000498,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
345,T053289,t058930,1,510.0000,0.751992031873,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
346,T015623,t053289,1,512.0000,0.751491053678,p4@CPSF7,79869,30098,,CPSF7,"cleavage and polyadenylation specific factor 7","gene with protein product"
347,T052647,t053289,1,506.0000,0.749253731343,p3@C16orf80,29105,29523,Q9Y6A4,CFAP20,"cilia and flagella associated protein 20","gene with protein product"
348,T053289,t078610,1,503.0000,0.74925224327,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
349,T053289,t186890,1,503.0000,0.748133399701,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
350,T053289,t163645,1,502.0000,0.748007968127,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
351,T012179,t053289,1,500.0000,0.747756729811,p16@SOX6,55553,16421,,SOX6,"SRY-box 6","gene with protein product"
352,T049644,t053289,1,498.0000,0.746387643249,p2@NPW,283869,30509,Q8N729,NPW,"neuropeptide W","gene with protein product"
353,T053289,t134503,1,498.0000,0.745644599303,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
354,T053289,t180677,1,495.0000,0.744151319064,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
355,T050071,t053289,1,491.0000,0.743270189432,p4@LCMT1,51451,17557,Q9UIC8,LCMT1,"leucine carboxyl methyltransferase 1","gene with protein product"
356,T034744,t053289,1,491.0000,0.742529880478,p1@SOX21,11166,11197,Q9Y651,SOX21,"SRY-box 21","gene with protein product"
357,T053289,t053333,1,487.0000,0.741645885287,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
358,T053289,t107548,1,489.0000,0.741533864542,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
359,T053289,t134887,1,488.0000,0.741035856574,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
360,T038073,t053289,1,489.0000,0.740427647936,p1@SLC25A21,89874,14411,"A8K0L0,G3V4L5,Q9BQT8",SLC25A21,"solute carrier family 25 member 21","gene with protein product"
361,T053289,t159225,1,488.0000,0.740298507463,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
362,T046862,t053289,1,488.0000,0.739195230999,p4@CHRNA5,1138,1959,,CHRNA5,"cholinergic receptor nicotinic alpha 5 subunit","gene with protein product"
363,T053289,t178963,1,476.0000,0.736159600998,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
364,T053289,t111695,1,477.0000,0.734825870647,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
365,T053289,t062583,1,468.0000,0.731075697211,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
366,T053289,t059240,1,460.0000,0.727816550349,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
367,T053289,t146347,1,462.0000,0.727725236436,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
368,T034748,t053289,1,457.0000,0.727045908184,p1@SOX21-AS1,,39807,,SOX21-AS1,"SOX21 antisense RNA 1 (head to head)","RNA, long non-coding"
369,T013704,t053289,1,457.0000,0.725959143,p1@TSSC2,650368,12384,,TSSC2,"tumor suppressing subtransferable candidate 2 pseudogene",pseudogene
370,T053289,t157712,1,453.0000,0.723966118585,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
371,T053289,t100754,1,454.0000,0.723743155799,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
372,T051561,t053289,1,452.0000,0.72274763564,p5@NME4,4833,7852,O00746,NME4,"NME/NM23 nucleoside diphosphate kinase 4","gene with protein product"
373,T053289,t157893,1,449.0000,0.722333000997,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
374,T053289,t074738,1,451.0000,0.721890547264,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
375,T053289,t166640,1,444.0000,0.719840478564,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
376,T053289,t147270,1,446.0000,0.719761075162,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
377,T053289,t053486,1,442.0000,0.71812749004,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
378,T053289,t099593,1,444.0000,0.717693836978,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
379,T053289,t106803,1,440.0000,0.717488789238,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
380,T053289,t121613,1,434.0000,0.715926110834,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
381,T043376,t053289,1,437.0000,0.714925373134,p5@BMF,90427,24132,Q96LC9,BMF,"Bcl2 modifying factor","gene with protein product"
382,T053289,t170654,1,430.0000,0.712861415753,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
383,T053289,t099413,1,433.0000,0.712580805569,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
384,T053289,t166644,1,426.0000,0.710513203787,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
385,T053289,t136849,1,422.0000,0.708520179372,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
386,T053289,t098985,1,417.0000,0.708145927036,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
387,T053289,t166649,1,423.0000,0.707960199005,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
388,T053289,t196694,1,419.0000,0.706673306773,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
389,T053289,t107880,1,414.0000,0.704534130543,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
390,T047674,t053289,1,406.0000,0.700548081714,p3@PEX11A,8800,8852,O75192,PEX11A,"peroxisomal biogenesis factor 11 alpha","gene with protein product"
391,T053289,t142397,1,406.0000,0.699502487562,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
392,T053289,t106401,1,402.0000,0.697859631658,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
393,T053289,t090956,1,400.0000,0.696517412935,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
394,T053289,t198696,1,399.0000,0.696366351419,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
395,T036515,t053289,1,399.0000,0.696019900498,p1@METTL3,56339,17563,"Q86U44,E9PD38,F5GXN0,B4E349,B4DTN4,F5H6D8,F5GXI2",METTL3,"methyltransferase like 3","gene with protein product"
396,T053289,t157561,1,394.0000,0.69422310757,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
397,T053289,t095951,1,394.0000,0.692842942346,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
398,T036532,t053289,1,391.0000,0.692729083665,p3@SALL2,6297,10526,"F5H5K7,F5H1G6",SALL2,"spalt like transcription factor 2","gene with protein product"
399,T036944,t053289,1,387.0000,0.691770573566,p2@HAUS4,54930,20163,"Q9H6D7,G3V5A5",HAUS4,"HAUS augmin like complex subunit 4","gene with protein product"
400,T053289,t129024,1,389.0000,0.691044776119,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
401,T049861,t053289,1,387.0000,0.690737051793,p8@MLST8,64223,24825,,MLST8,"MTOR associated protein, LST8 homolog","gene with protein product"
402,T053289,t098425,1,388.0000,0.690203878667,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
403,T053289,t075864,1,389.0000,0.69001490313,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
404,T053289,t174594,1,384.0000,0.689930209372,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
405,T053289,t195134,1,383.0000,0.68908819133,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
406,T036531,t053289,1,382.0000,0.688933200399,p7@SALL2,6297,10526,F5GY43,SALL2,"spalt like transcription factor 2","gene with protein product"
407,T053289,t107890,1,380.0000,0.687593423019,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
408,T053289,t130309,1,381.0000,0.686723023371,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
409,T030481,t053289,1,377.0000,0.685415629667,p3@CCDC41,51134,17966,"Q3B787,Q9Y592",CEP83,"centrosomal protein 83","gene with protein product"
410,T053289,t094379,1,376.0000,0.685258964143,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
411,T053289,t083495,1,374.0000,0.683582089552,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
412,T053289,t094548,1,376.0000,0.683556880278,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
413,T053289,t105573,1,373.0000,0.6824055666,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
414,T053289,t071898,1,369.0000,0.682112605879,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
415,T053289,t074995,1,367.0000,0.68043802887,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
416,T053289,t180536,1,369.0000,0.679067460317,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
417,T053289,t128628,1,361.0000,0.677788844622,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
418,T031649,t053289,1,362.0000,0.677611940299,p12@ADPRHL1,113622,21303,Q8NDY3,ADPRHL1,"ADP-ribosylhydrolase like 1","gene with protein product"
419,T026785,t053289,1,356.0000,0.676984523215,p3@NCKAP1L,3071,4862,B4DUT5,NCKAP1L,"NCK associated protein 1 like","gene with protein product"
420,T053289,t148389,1,356.0000,0.674291397315,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
421,T016267,t053289,1,353.0000,0.672131147541,p1@C11orf95,65998,28449,C9JLR9,C11orf95,"chromosome 11 open reading frame 95","gene with protein product"
422,T053289,t103348,1,345.0000,0.671157684631,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
423,T020978,t053289,1,348.0000,0.670646766169,p9@C12orf24,29902,30180,F8VXY8,FAM216A,"family with sequence similarity 216 member A","gene with protein product"
424,T053289,t100123,1,347.0000,0.670149253731,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
425,T053289,t081898,1,346.0000,0.669985067198,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
426,T053289,t055137,1,344.0000,0.668989547038,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
427,T053289,t100902,1,347.0000,0.668818272095,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
428,T053289,t079379,1,339.0000,0.667497507478,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
429,T053289,t056884,1,340.0000,0.666003976143,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
430,T026424,t053289,1,336.0000,0.666001994018,p1@ZNF740,283337,27465,Q8NDX6,ZNF740,"zinc finger protein 740","gene with protein product"
431,T053289,t068322,1,334.0000,0.665336658354,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
432,T053289,t090677,1,340.0000,0.665012406948,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
433,T053289,t068447,1,333.0000,0.664506480558,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
434,T053289,t091780,1,316.0000,0.656686626747,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
435,T053289,t177156,1,317.0000,0.655550024888,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
436,T053289,t080339,1,316.0000,0.654726368159,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
437,T053289,t095133,1,311.0000,0.652888446215,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
438,T053289,t076791,1,311.0000,0.65256346441,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
439,T053289,t070600,1,311.0000,0.651914470413,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
440,T053289,t109738,1,307.0000,0.650896414343,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
441,T053289,t195132,1,306.0000,0.650398406375,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
442,T000336,t053289,1,306.0000,0.649751243781,p2@FGF8,2253,3686,P55075,FGF8,"fibroblast growth factor 8","gene with protein product"
443,T053289,t166210,1,305.0000,0.649576903932,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
444,T053289,t094862,1,302.0000,0.648729446936,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
445,T021932,t053289,1,302.0000,0.648406374502,p14@MSI1,4440,7330,,MSI1,"musashi RNA binding protein 1","gene with protein product"
446,T053289,t182424,1,302.0000,0.648406374502,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
447,T053289,t195133,1,303.0000,0.648258706468,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
448,T015708,t053289,1,301.0000,0.647908366534,p21@FADS1,3992,3574,O60427,FADS1,"fatty acid desaturase 1","gene with protein product"
449,T053289,t067343,1,299.0000,0.647880299252,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
450,T053289,t197274,1,297.0000,0.644952759821,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
451,T053289,t096995,1,294.0000,0.644422310757,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
452,T053289,t067384,1,290.0000,0.643391521197,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
453,T037334,t053289,1,291.0000,0.641650099404,p3@PSME2,5721,9569,,PSME2,"proteasome activator subunit 2","gene with protein product"
454,T053289,t078335,1,286.0000,0.640438247012,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
455,T053289,t085080,1,285.0000,0.639940239044,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
456,T053289,t111061,1,282.0000,0.639401496259,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
457,T022725,t053289,1,281.0000,0.637948207171,p1@TMEM132B,114795,29397,,TMEM132B,"transmembrane protein 132B","gene with protein product"
458,T053289,t069725,1,284.0000,0.637853949329,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
459,T045055,t053289,1,277.0000,0.636590229312,p3@CCNB2,9133,1580,,CCNB2,"cyclin B2","gene with protein product"
460,T053289,t200031,1,270.0000,0.633100697906,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
461,T053289,t180678,1,269.0000,0.63260219342,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
462,T053289,t060073,1,270.0000,0.632155301145,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
463,T048150,t053289,1,268.0000,0.631788739412,p8@RGMA,56963,30308,Q96B86,RGMA,"repulsive guidance molecule family member a","gene with protein product"
464,T053289,t104300,1,263.0000,0.6296111665,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
465,T053289,t094898,1,265.0000,0.629353233831,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
466,T053289,t152781,1,260.0000,0.62874251497,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
467,T012178,t053289,1,264.0000,0.628543013426,p10@SOX6,55553,16421,,SOX6,"SRY-box 6","gene with protein product"
468,T038072,t053289,1,258.0000,0.627118644068,p2@SLC25A21,89874,14411,G3V4L5,SLC25A21,"solute carrier family 25 member 21","gene with protein product"
469,T053289,t071081,1,259.0000,0.626368159204,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
470,T045438,t053289,1,256.0000,0.625809666168,p2@FAM96A,84191,26235,,FAM96A,"family with sequence similarity 96 member A","gene with protein product"
471,T042317,t053289,1,256.0000,0.62518666003,p12@SNRPN,6638,11164,,SNRPN,"small nuclear ribonucleoprotein polypeptide N","gene with protein product"
472,T053289,t107063,1,246.0000,0.620827105132,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
473,T053289,t193564,1,248.0000,0.62027833002,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
474,T053289,t072808,1,247.0000,0.619781312127,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
475,T053289,t075853,1,237.0000,0.615729218517,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
476,T053289,t129140,1,230.0000,0.612244897959,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
477,T053289,t168733,1,222.0000,0.609476309227,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
478,T053289,t074885,1,220.0000,0.608175473579,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
479,T053289,t191889,1,218.0000,0.607784431138,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
480,T053289,t141396,1,217.0000,0.604870775348,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
481,T053289,t172311,1,200.0000,0.598503740648,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
482,T053289,t081287,1,197.0000,0.597305389222,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
483,T053289,t197272,1,202.0000,0.597118728266,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
484,T044770,t053289,1,199.0000,0.597111553785,p2@RFX7,64864,25777,"Q2KHR2,C9JU50",RFX7,"regulatory factor X7","gene with protein product"
485,T053289,t064719,1,198.0000,0.596316575411,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
486,T053289,t092631,1,195.0000,0.594823295172,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
487,T053289,t083497,1,193.0000,0.594123505976,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
488,T053289,t198145,1,191.0000,0.59312749004,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
489,T053289,t191161,1,190.0000,0.592334494774,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
490,T053289,t143747,1,192.0000,0.592151018381,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
491,T053289,t201762,1,186.0000,0.590931738914,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
492,T053289,t178935,1,182.0000,0.589232303091,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
493,T051846,t053289,1,182.0000,0.588059701493,p10@ZNF423,23090,16762,,ZNF423,"zinc finger protein 423","gene with protein product"
494,T053289,t102807,1,180.0000,0.587942202292,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
495,T026441,t053289,1,180.0000,0.58764940239,p8@RARG,5916,9866,,RARG,"retinoic acid receptor gamma","gene with protein product"
496,T053289,t062582,1,178.0000,0.58753117207,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
497,T053289,t091944,1,181.0000,0.587270014918,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
498,T053289,t077687,1,180.0000,0.587064676617,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
499,T053289,t150222,1,171.0000,0.582007952286,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
