Hs-RTN1,2000,1000,T039145-RTN1,"p5@RTN1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T018718,t039145,2,011.0000,0.999006458023,p7@PAK1,5058,8590,Q13153,PAK1,"p21 (RAC1) activated kinase 1","gene with protein product"
404,T020259,t039145,735.0000,0.365489806067,p4@GABARAPL1,23710,4068,,GABARAPL1,"GABA type A receptor associated protein like 1","gene with protein product"
405,T010765,t039145,731.0000,0.364952571143,p1@GRIK4,2900,4582,,GRIK4,"glutamate ionotropic receptor kainate type subunit 4","gene with protein product"
406,T039145,t148647,731.0000,0.363500745898,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
407,T039145,t049846,729.0000,0.363228699552,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
408,T039145,t160912,728.0000,0.363092269327,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
409,T039145,t161004,728.0000,0.362911266201,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
410,T039145,t140569,727.0000,0.362051792829,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
411,T033472,t039145,725.0000,0.36087605774,p9@HTR2A,3356,5293,,HTR2A,"5-hydroxytryptamine receptor 2A","gene with protein product"
412,T039145,t186033,720.0000,0.359102244389,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
413,T039145,t070422,716.0000,0.355864811133,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
414,T039145,t130660,709.0000,0.35379241517,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
415,T027496,t039145,706.0000,0.351418616227,p4@KIF5A,3798,6323,,KIF5A,"kinesin family member 5A","gene with protein product"
416,T039145,t150619,706.0000,0.351418616227,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
417,T019345,t039145,706.0000,0.351243781095,p1@TRIM66,9866,29005,O15016,TRIM66,"tripartite motif containing 66","gene with protein product"
418,T039145,t109495,704.0000,0.350248756219,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
419,T001384,t039145,704.0000,0.350248756219,p3@ATRNL1,26033,29063,,ATRNL1,"attractin like 1","gene with protein product"
420,T039145,t050686,694.0000,0.345445495271,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
421,T039145,t066608,684.0000,0.341317365269,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
422,T039145,t087868,684.0000,0.340977068794,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
423,T027045,t039145,679.0000,0.338653366584,p6@ERBB3,2065,3431,"P21860,F8VX90",ERBB3,"erb-b2 receptor tyrosine kinase 3","gene with protein product"
424,T039145,t088489,677.0000,0.336648433615,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
425,T039145,t041300,676.0000,0.33631840796,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
426,T039145,t169652,669.0000,0.333333333333,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
427,T039145,t088950,670.0000,0.333333333333,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
428,T039145,t191204,669.0000,0.332504970179,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
429,T039145,t158140,666.0000,0.331508213041,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
430,T039145,t114816,664.0000,0.330512692882,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
431,T039145,t178870,660.0000,0.328685258964,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
432,T039145,t089961,658.0000,0.327526132404,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
433,T039145,t054004,657.0000,0.32719123506,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
434,T039145,t157830,657.0000,0.327028372325,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
435,T033750,t039145,654.0000,0.325211337643,p1@DLEU7,220107,17567,Q6UYE1,DLEU7,"deleted in lymphocytic leukemia, 7","gene with protein product"
436,T039145,t068097,653.0000,0.324552683897,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
437,T039145,t183181,649.0000,0.323046291687,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
438,T039145,t098341,649.0000,0.322725012432,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
439,T039145,t184115,648.0000,0.322709163347,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
440,T039145,t170564,642.0000,0.319244157136,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
441,T039145,t153158,634.0000,0.315266036798,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
442,T039145,t113153,624.0000,0.311066799601,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
443,T039145,t159484,625.0000,0.310636182903,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
444,T039145,t103680,621.0000,0.309262948207,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
445,T005639,t039145,619.0000,0.308420528151,p4@ANK3,288,494,"B4DIL1,E9PE32,Q59G01",ANK3,"ankyrin 3","gene with protein product"
446,T005619,t039145,619.0000,0.308266932271,p19@ANK3,288,494,Q12955,ANK3,"ankyrin 3","gene with protein product"
447,T013955,t039145,616.0000,0.306772908367,p18@SLC1A2,6506,10940,,SLC1A2,"solute carrier family 1 member 2","gene with protein product"
448,T013947,t039145,614.0000,0.306540189715,p48@SLC1A2,6506,10940,,SLC1A2,"solute carrier family 1 member 2","gene with protein product"
449,T022774,t039145,616.0000,0.30585898709,p17@DUSP16,80824,17909,,DUSP16,"dual specificity phosphatase 16","gene with protein product"
450,T039145,t042432,614.0000,0.30577689243,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
451,T039145,t187600,610.0000,0.303936223219,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
452,T039145,t071448,610.0000,0.303331675783,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
453,T039145,t084438,608.0000,0.302788844622,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
454,T039145,t183178,607.0000,0.302441454908,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
455,T039145,t071657,600.0000,0.298656047785,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
456,T039145,t044562,599.0000,0.297713717694,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
457,T039145,t055366,594.0000,0.295375435107,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
458,T039145,t177818,593.0000,0.295171727227,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
459,T039145,t087601,591.0000,0.29446935725,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
460,T034400,t039145,588.0000,0.292391844853,p5@MYCBP2,23077,23386,,MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase","gene with protein product"
461,T039145,t194446,580.0000,0.288127173373,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
462,T039145,t142105,579.0000,0.287916459473,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
463,T039145,t188322,577.0000,0.287637088734,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
464,T039145,t132507,578.0000,0.287419194431,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
465,T039145,t121458,575.0000,0.287069395906,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
466,T004747,t039145,576.0000,0.286282306163,p2@RASGEF1A,221002,24246,Q8N9B8,RASGEF1A,"RasGEF domain family member 1A","gene with protein product"
467,T039145,t042342,573.0000,0.284791252485,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
468,T039145,t104653,571.0000,0.2837972167,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
469,T039145,t088423,569.0000,0.283225485316,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
470,T039145,t175520,566.0000,0.281732205077,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
471,T039145,t198241,563.0000,0.280238924838,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
472,T039145,t189778,562.0000,0.279880478088,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
473,T039145,t047975,561.0000,0.279800498753,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
474,T039145,t148470,557.0000,0.277805486284,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
475,T039145,t197951,552.0000,0.275037369208,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
476,T039145,t061411,552.0000,0.274763563962,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
477,T039145,t046934,550.0000,0.273495773247,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
478,T039145,t123677,548.0000,0.273044344793,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
479,T039145,t147085,548.0000,0.27263681592,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
480,T029099,t039145,544.0000,0.270916334661,p1@KCNC2,3747,6234,Q96PR1,KCNC2,"potassium voltage-gated channel subfamily C member 2","gene with protein product"
481,T039145,t113182,545.0000,0.270605759682,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
482,T012581,t039145,540.0000,0.268523122824,p4@PTPN5,84867,9657,B7ZAF5,PTPN5,"protein tyrosine phosphatase, non-receptor type 5","gene with protein product"
483,T039145,t105455,537.0000,0.267563527653,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
484,T028031,t039145,536.0000,0.26706527155,p4@VAMP1,6843,12642,,VAMP1,"vesicle associated membrane protein 1","gene with protein product"
485,T039145,t183176,536.0000,0.266534062655,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
486,T039145,t164407,533.0000,0.266100848727,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
487,T039145,t078370,529.0000,0.264103844234,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
488,T039145,t153557,528.0000,0.262686567164,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
489,T039145,t157137,525.0000,0.26106414719,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
490,T015095,t039145,521.0000,0.2592039801,p2@RTN4RL2,349667,23053,Q86UN3,RTN4RL2,"reticulon 4 receptor-like 2","gene with protein product"
491,T039145,t168641,520.0000,0.259093173891,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
492,T039145,t166432,520.0000,0.258835241414,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
493,T039145,t103092,519.0000,0.258337481334,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
494,T039145,t200624,518.0000,0.257327372081,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
495,T039145,t128786,513.0000,0.255732801595,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
496,T039145,t113140,508.0000,0.253240279163,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
497,T039145,t084964,505.0000,0.251744765703,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
498,T039145,t047043,504.0000,0.250996015936,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
499,T039145,t123811,503.0000,0.250124316261,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
500,T039145,t200380,499.0000,0.248877805486,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
501,T013999,t039145,500.0000,0.248756218905,p8@SLC1A2,6506,10940,"A2A2U1,P43004",SLC1A2,"solute carrier family 1 member 2","gene with protein product"
502,T039145,t097116,499.0000,0.248258706468,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
503,T008192,t039145,497.0000,0.248127808288,p7@CPEB3,22849,21746,Q8NE35,CPEB3,"cytoplasmic polyadenylation element binding protein 3","gene with protein product"
504,T014156,t039145,497.0000,0.247017892644,p2@STIM1,6786,11386,Q13586,STIM1,"stromal interaction molecule 1","gene with protein product"
505,T039145,t071581,491.0000,0.245132301548,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
506,T039145,t081443,491.0000,0.244643746886,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
507,T039145,t155630,491.0000,0.244521912351,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
508,T039145,t198704,493.0000,0.244301288404,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
509,T001762,t039145,486.0000,0.241911398706,p7@INPP5F,22876,17054,Q5W135,INPP5F,"inositol polyphosphate-5-phosphatase F","gene with protein product"
510,T039145,t086373,484.0000,0.240676280457,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
511,T039145,t157760,480.0000,0.239043824701,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
512,T039145,t103685,477.0000,0.238261738262,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
513,T039145,t090627,476.0000,0.237406483791,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
514,T039145,t200379,475.0000,0.236907730673,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
515,T039145,t128060,473.0000,0.23567513702,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
516,T039145,t168132,471.0000,0.234912718204,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
517,T039145,t127141,471.0000,0.234678624813,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
518,T013995,t039145,470.0000,0.23406374502,p6@SLC1A2,6506,10940,P43004,SLC1A2,"solute carrier family 1 member 2","gene with protein product"
519,T039145,t153559,469.0000,0.233565737052,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
520,T039145,t200622,468.0000,0.232951717272,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
521,T039145,t119985,466.0000,0.231956197113,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
522,T039145,t194784,465.0000,0.231920199501,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
523,T039145,t138838,464.0000,0.231075697211,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
524,T010657,t039145,458.0000,0.228201295466,p3@THY1,7070,11801,"B0YJA4,P04216",THY1,"Thy-1 cell surface antigen","gene with protein product"
525,T039145,t123530,457.0000,0.22736318408,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
526,T039145,t072040,453.0000,0.225710014948,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
527,T039145,t144700,454.0000,0.22542204568,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
528,T011106,t039145,452.0000,0.224987555998,p12@SCN3B,55800,20665,Q9NY72,SCN3B,"sodium voltage-gated channel beta subunit 3","gene with protein product"
529,T039145,t098943,452.0000,0.224987555998,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
530,T039145,t049737,451.0000,0.22482552343,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
531,T039145,t155638,449.0000,0.223161033797,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
532,T039145,t155503,446.0000,0.222111553785,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
533,T039145,t170552,445.0000,0.22183449651,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
534,T000271,t039145,444.0000,0.220785678767,p6@SFXN3,81855,16087,Q9BWM7,SFXN3,"sideroflexin 3","gene with protein product"
535,T033469,t039145,442.0000,0.21957277695,p3@HTR2A,3356,5293,,HTR2A,"5-hydroxytryptamine receptor 2A","gene with protein product"
536,T025058,t039145,441.0000,0.219184890656,p1@TMEM117,84216,25308,"Q9H0C3,F8VS00",TMEM117,"transmembrane protein 117","gene with protein product"
537,T039145,t163909,440.0000,0.219123505976,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
538,T036377,t039145,439.0000,0.218516674963,p12@NDRG2,57447,14460,,NDRG2,"NDRG family member 2","gene with protein product"
539,T037537,t039145,436.0000,0.217673489765,p11@NOVA1,4857,7886,"P51513,D3DS81",NOVA1,"NOVA alternative splicing regulator 1","gene with protein product"
540,T039145,t042622,436.0000,0.217131474104,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
541,T029101,t039145,429.0000,0.213858424726,p24@KCNC2,3747,6234,,KCNC2,"potassium voltage-gated channel subfamily C member 2","gene with protein product"
542,T030528,t039145,430.0000,0.213823968175,p3@NR2C1,7181,7971,,NR2C1,"nuclear receptor subfamily 2 group C member 1","gene with protein product"
543,T039145,t093863,429.0000,0.21375186846,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
544,T039145,t167385,428.0000,0.213253612357,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
545,T039145,t152641,427.0000,0.212755356253,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
546,T039145,t183719,424.0000,0.211682476286,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
547,T039145,t042333,425.0000,0.211548033848,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
548,T039145,t077242,422.0000,0.210683974039,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
549,T039145,t142944,422.0000,0.209950248756,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
550,T039145,t068316,421.0000,0.209661354582,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
551,T019073,t039145,419.0000,0.208665338645,p31@DLG2,1740,2901,,DLG2,"discs large MAGUK scaffold protein 2","gene with protein product"
552,T039145,t108973,420.0000,0.208643815201,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
553,T039145,t182087,418.0000,0.20827105132,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
554,T039145,t088491,419.0000,0.2077342588,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
555,T039145,t172192,411.0000,0.20447761194,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
556,T039145,t090692,410.0000,0.203980099502,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
557,T039145,t100102,409.0000,0.203888334995,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
558,T039145,t125853,409.0000,0.203786746388,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
559,T039145,t158162,407.0000,0.202689243028,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
560,T032744,t039145,408.0000,0.202682563338,p11@DCLK1,9201,2700,O15075,DCLK1,"doublecortin like kinase 1","gene with protein product"
561,T039145,t120271,404.0000,0.201395812562,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
562,T039145,t198035,405.0000,0.201192250373,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
563,T039145,t039147,403.0000,0.200597312096,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
564,T039145,t194641,397.0000,0.197512437811,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
565,T039145,t194429,394.0000,0.196410767697,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
566,T039145,t059165,395.0000,0.196322067594,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
567,T039145,t175694,394.0000,0.196117471379,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
568,T039145,t191140,394.0000,0.195727769498,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
569,T038443,t039145,393.0000,0.195619711299,p3@CDKL1,8814,1781,Q00532,CDKL1,"cyclin dependent kinase like 1","gene with protein product"
570,T039145,t183175,393.0000,0.19552238806,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
571,T039145,t191203,393.0000,0.195328031809,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
572,T039145,t166418,388.0000,0.192842942346,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
573,T039145,t054951,387.0000,0.192825112108,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
574,T002791,t039145,387.0000,0.192537313433,p17@FRMD4A,55691,25491,,FRMD4A,"FERM domain containing 4A","gene with protein product"
575,T039145,t199459,387.0000,0.192345924453,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
576,T039145,t125209,386.0000,0.191944306315,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
577,T039145,t056807,384.0000,0.191808191808,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
578,T039145,t167350,383.0000,0.190547263682,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
579,T039145,t177919,382.0000,0.190333831589,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
580,T039145,t074256,379.0000,0.189121756487,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
581,T039145,t139742,377.0000,0.187562189055,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
582,T039145,t177210,376.0000,0.186971655893,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
583,T039145,t188641,375.0000,0.186381709742,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
584,T027722,t039145,374.0000,0.18625498008,p17@FAM19A2,338811,21589,F8VVD7,FAM19A2,"family with sequence similarity 19 member A2, C-C motif chemokine like","gene with protein product"
585,T039145,t057796,369.0000,0.183399602386,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
586,T039145,t048958,367.0000,0.182768924303,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
587,T039145,t073034,362.0000,0.180819180819,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
588,T039145,t173020,364.0000,0.180734856008,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
589,T039145,t057914,362.0000,0.180278884462,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
590,T021587,t039145,359.0000,0.178963110668,p2@RNFT2,84900,25905,"Q96EX2,E9PAM7",RNFT2,"ring finger protein, transmembrane 2","gene with protein product"
591,T039145,t040168,353.0000,0.175709308113,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
592,T039145,t117793,352.0000,0.175211548034,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
593,T039145,t091061,350.0000,0.174476570289,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
594,T039145,t041292,349.0000,0.173978065803,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
595,T039145,t166825,350.0000,0.173956262425,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
596,T039145,t193926,349.0000,0.173459244533,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
597,T035051,t039145,343.0000,0.171414292854,p3@CYP46A1,10858,2641,G3V366,CYP46A1,"cytochrome P450 family 46 subfamily A member 1","gene with protein product"
598,T039145,t151678,339.0000,0.169077306733,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
599,T039145,t128058,334.0000,0.166003976143,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
600,T029091,t039145,331.0000,0.164922770304,p11@KCNC2,3747,6234,Q96PR1,KCNC2,"potassium voltage-gated channel subfamily C member 2","gene with protein product"
601,T039145,t040982,329.0000,0.163763066202,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
602,T039145,t105745,328.0000,0.163672654691,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
603,T039145,t192848,327.0000,0.163173652695,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
604,T039145,t194431,326.0000,0.162027833002,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
605,T006361,t039145,325.0000,0.161933233682,p2@NPFFR1,64106,17425,Q9GZQ6,NPFFR1,"neuropeptide FF receptor 1","gene with protein product"
606,T039145,t086382,325.0000,0.161852589641,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
607,T038332,t039145,325.0000,0.161530815109,p2@KLHDC1,122773,19836,,KLHDC1,"kelch domain containing 1","gene with protein product"
