T000001	chr10:100027943..100027958,-	LOXL4
T024510	chr12:30848787..30848842,-	IPO8
T024511	chr12:30848914..30848948,-	IPO8
T024516	chr12:30887989..30887997,-	CAPRIN2
T024518	chr12:30907700..30907748,-	CAPRIN2
T024519	chr12:30907749..30907771,-	CAPRIN2
T024520	chr12:30907838..30907850,-	CAPRIN2
T024521	chr12:30907862..30907894,-	CAPRIN2
T024540	chr12:31079412..31079428,+	TSPAN11
T024542	chr12:31079652..31079694,+	TSPAN11
T024549	chr12:31226783..31226834,+	DDX11
T024550	chr12:31227192..31227211,+	DDX11
T024562	chr12:31477037..31477051,-	FAM60A
T024563	chr12:31477072..31477110,-	FAM60A
T024565	chr12:31478460..31478469,-	FAM60A
T024566	chr12:31478807..31478835,-	FAM60A
T024567	chr12:31478836..31478859,-	FAM60A
T024569	chr12:31479076..31479092,-	FAM60A
T024571	chr12:31479165..31479183,-	FAM60A
T024585	chr12:31742847..31742862,+	DENND5B-AS1
T024586	chr12:31743817..31743824,-	DENND5B
T024587	chr12:31743873..31743880,-	DENND5B
T024588	chr12:31743901..31743956,-	DENND5B
T024589	chr12:31743974..31743985,-	DENND5B
T024590	chr12:31743987..31743998,-	DENND5B
T024591	chr12:31744048..31744059,-	DENND5B
T024593	chr12:31744082..31744093,-	DENND5B
T024594	chr12:31744096..31744110,-	DENND5B
T024599	chr12:31812125..31812166,+	METTL20
T024600	chr12:31812602..31812628,+	METTL20
T024602	chr12:3186526..3186575,+	TSPAN9
T024609	chr12:31881948..31881965,-	AMN1
T024610	chr12:31881967..31881970,-	AMN1
T024611	chr12:31881976..31882021,-	AMN1
T024637	chr12:31945225..31945237,-	H3F3C
T024651	chr12:32112328..32112331,+	C12orf35
T024653	chr12:32112375..32112396,+	C12orf35
T024656	chr12:32112559..32112584,+	C12orf35
T024660	chr12:32134498..32134513,+	C12orf35
T024666	chr12:32259576..32259585,+	BICD1
T024667	chr12:32259603..32259610,+	BICD1
T024668	chr12:32259684..32259692,+	BICD1
T024669	chr12:32259696..32259794,+	BICD1
T024671	chr12:32259821..32259835,+	BICD1
T024672	chr12:32259851..32259881,+	BICD1
T024673	chr12:32259890..32259893,+	BICD1
T024674	chr12:32260121..32260130,+	BICD1
T024675	chr12:32260259..32260268,+	BICD1
T024677	chr12:322821..322873,-	SLC6A12
T024679	chr12:323187..323209,-	SLC6A12
T024680	chr12:323248..323263,-	SLC6A12
T024682	chr12:323312..323329,-	SLC6A12
T024690	chr12:32480889..32480935,+	BICD1
T024694	chr12:32552451..32552508,+	FGD4
T024695	chr12:32552586..32552593,+	FGD4
T024702	chr12:32638897..32638919,+	FGD4
T024705	chr12:32655048..32655108,+	FGD4
T024706	chr12:32655110..32655158,+	FGD4
T024707	chr12:32687145..32687174,+	FGD4
T024708	chr12:32687221..32687267,+	FGD4
T024714	chr12:32832182..32832196,+	DNM1L
T024715	chr12:32832197..32832202,+	DNM1L
T024716	chr12:32832203..32832263,+	DNM1L
T024720	chr12:32908399..32908457,-	YARS2
T024721	chr12:32908809..32908840,-	YARS2
T024722	chr12:32974355..32974372,-	PKP2
T024728	chr12:33049691..33049756,-	PKP2
T024741	chr12:33592743..33592764,-	SYT10
T024747	chr12:3394446..3394452,+	TSPAN9
T024751	chr12:34175398..34175438,+	ALG10
T024765	chr12:3600356..3600406,+	PRMT8
T024771	chr12:371994..372008,-	SLC6A13
T024789	chr12:3862245..3862294,-	EFCAB4B
T024790	chr12:3862347..3862371,-	EFCAB4B
T024791	chr12:3862373..3862384,-	EFCAB4B
T024793	chr12:38710555..38710598,+	ALG10B
T024799	chr12:3920051..3920084,-	PARP11
T024800	chr12:3920552..3920566,-	PARP11
T024802	chr12:39299386..39299400,-	CPNE8
T024803	chr12:39299406..39299448,-	CPNE8
T024804	chr12:39299537..39299550,-	CPNE8
T024805	chr12:39299722..39299767,-	CPNE8
T024807	chr12:39300081..39300097,-	CPNE8
T024808	chr12:39300561..39300588,-	CPNE8
T024815	chr12:39735343..39735368,-	KIF21A
T024825	chr12:3982511..3982542,-	PARP11
T024826	chr12:3982548..3982575,-	PARP11
T024829	chr12:39836915..39836954,-	KIF21A
T024831	chr12:39837100..39837120,-	KIF21A
T024832	chr12:39837194..39837206,-	KIF21A
T024833	chr12:39837372..39837406,-	KIF21A
T024838	chr12:40013582..40013635,-	ABCD2
T024839	chr12:40013771..40013792,-	ABCD2
T024850	chr12:40462453..40462466,-	RPL30P13
T024851	chr12:40499811..40499820,-	SLC2A13
T024852	chr12:40499831..40499908,-	SLC2A13
T024862	chr12:40618331..40618360,+	LRRK2
T024863	chr12:40618463..40618492,+	LRRK2
T024864	chr12:40618579..40618591,+	LRRK2
T024868	chr12:40618764..40618841,+	LRRK2
T024873	chr12:40619391..40619402,+	LRRK2
T024895	chr12:41086215..41086288,+	CNTN1
T024953	chr12:42538480..42538527,-	GXYLT1
T024954	chr12:42538625..42538655,-	GXYLT1
T024955	chr12:42538657..42538720,-	GXYLT1
T024958	chr12:42631529..42631555,-	YAF2
T024959	chr12:42632006..42632015,-	YAF2
T024960	chr12:42632016..42632058,-	YAF2
T024961	chr12:42632063..42632079,-	YAF2
T024962	chr12:42632127..42632177,-	YAF2
T024963	chr12:42632208..42632255,+	PPHLN1
T024966	chr12:42719761..42719771,-	ZCRB1
T024967	chr12:42719885..42719926,-	ZCRB1
T024968	chr12:42719947..42719983,+	PPHLN1
T024969	chr12:42719984..42719998,+	PPHLN1
T024976	chr12:42877408..42877422,-	PRICKLE1
T024977	chr12:42877726..42877758,-	PRICKLE1
T024978	chr12:42877764..42877803,-	PRICKLE1
T024979	chr12:42877806..42877814,-	PRICKLE1
T024980	chr12:42878101..42878133,-	PRICKLE1
T024982	chr12:42983539..42983555,-	PRICKLE1
T024983	chr12:42983782..42983815,-	PRICKLE1
T024990	chr12:432372..432377,-	KDM5A
T025011	chr12:4382917..4382935,+	CCND2
T025015	chr12:4382987..4383001,+	CCND2
T025023	chr12:4388045..4388063,+	CCND2
T025026	chr12:43946001..43946016,-	ADAMTS20
T025028	chr12:4409178..4409221,+	CCND2
T025029	chr12:4409274..4409294,+	CCND2
T025045	chr12:4413412..4413423,+	CCND2
T025050	chr12:44152515..44152534,-	PUS7L
T025051	chr12:44152551..44152600,-	PUS7L
T025052	chr12:44152740..44152815,+	IRAK4
T025053	chr12:44199877..44199905,-	TWF1
T025054	chr12:44200112..44200136,-	TWF1
T025055	chr12:44200146..44200157,-	TWF1
T025056	chr12:44200404..44200432,-	TWF1
T025057	chr12:44229650..44229702,+	TMEM117
T025058	chr12:44229846..44229916,+	TMEM117
T025059	chr12:44229937..44229950,+	TMEM117
T025061	chr12:4430372..4430429,+	C12orf5
T025089	chr12:45269362..45269378,-	NELL2
T025099	chr12:45270077..45270143,-	NELL2
T025101	chr12:45270483..45270502,-	NELL2
T025113	chr12:45609402..45609438,+	ANO6
T025116	chr12:45609559..45609570,+	ANO6
T025117	chr12:45609645..45609650,+	ANO6
T025118	chr12:45609762..45609789,+	ANO6
T025119	chr12:45609766..45609816,-	PLEKHA8P1
T025120	chr12:45609797..45609808,+	ANO6
T025121	chr12:45609829..45609840,+	ANO6
T025122	chr12:45609862..45609886,+	ANO6
T025124	chr12:45609911..45609922,+	ANO6
T025136	chr12:45823283..45823297,+	ANO6
T025151	chr12:46123050..46123129,+	ARID2
T025152	chr12:46123273..46123329,+	ARID2
T025153	chr12:46123464..46123512,+	ARID2
T025154	chr12:46123519..46123529,+	ARID2
T025155	chr12:46123682..46123698,+	ARID2
T025166	chr12:46384249..46384256,-	SCAF11
T025167	chr12:46384264..46384275,-	SCAF11
T025168	chr12:46384304..46384333,-	SCAF11
T025169	chr12:46384334..46384366,-	SCAF11
T025170	chr12:46384371..46384382,-	SCAF11
T025171	chr12:46384507..46384529,-	SCAF11
T025173	chr12:46385811..46385869,-	SCAF11
T025174	chr12:4647606..4647681,-	C12orf4
T025175	chr12:4647995..4648087,+	RAD51AP1
T025177	chr12:46601007..46601038,-	SLC38A1
T025182	chr12:46601345..46601383,-	SLC38A1
T025195	chr12:46660265..46660305,-	SLC38A1
T025199	chr12:46661092..46661130,-	SLC38A1
T025200	chr12:46661143..46661186,-	SLC38A1
T025202	chr12:46662305..46662314,-	SLC38A1
T025206	chr12:46662513..46662549,-	SLC38A1
T025208	chr12:46662587..46662590,-	SLC38A1
T025210	chr12:46662729..46662757,-	SLC38A1
T025211	chr12:46662772..46662835,-	SLC38A1
T025214	chr12:46662913..46662948,-	SLC38A1
T025215	chr12:46663812..46663851,-	SLC38A1
T025217	chr12:4671352..4671390,+	DYRK4
T025220	chr12:46753271..46753283,-	SLC38A2
T025221	chr12:46754578..46754630,-	SLC38A2
T025227	chr12:46758915..46758937,-	SLC38A2
T025232	chr12:46765044..46765060,-	SLC38A2
T025234	chr12:46765120..46765181,-	SLC38A2
T025235	chr12:46765239..46765250,-	SLC38A2
T025237	chr12:46766521..46766537,-	SLC38A2
T025238	chr12:46766547..46766567,-	SLC38A2
T025239	chr12:46766577..46766587,-	SLC38A2
T025279	chr12:4714050..4714139,+	NDUFA9
T025280	chr12:4714145..4714156,+	DYRK4
T025292	chr12:47219733..47219785,-	SLC38A4
T025302	chr12:47472578..47472594,-	AMIGO2
T025304	chr12:47473298..47473334,-	AMIGO2
T025305	chr12:47473339..47473356,+	FAM113B
T025306	chr12:47473369..47473438,+	FAM113B
T025307	chr12:47473458..47473463,-	AMIGO2
T025308	chr12:47473475..47473484,-	AMIGO2
T025312	chr12:47473707..47473757,-	AMIGO2
T025316	chr12:47474192..47474251,-	AMIGO2
T025326	chr12:4758159..4758232,-	AKAP3
T025327	chr12:4758264..4758314,+	NDUFA9
T025335	chr12:47610315..47610386,+	FAM113B
T025337	chr12:47617314..47617338,+	FAM113B
T025338	chr12:47617402..47617434,+	FAM113B
T025365	chr12:48099754..48099765,-	RPAP3
T025366	chr12:48099773..48099825,-	RPAP3
T025376	chr12:48151918..48151935,-	RAPGEF3
T025377	chr12:48151938..48151973,-	RAPGEF3
T025379	chr12:48152499..48152520,-	RAPGEF3
T025381	chr12:48152611..48152672,-	RAPGEF3
T025382	chr12:48152774..48152816,+	SLC48A1
T025383	chr12:48152826..48152842,+	SLC48A1
T025384	chr12:48152853..48152879,-	RAPGEF3
T025385	chr12:48152883..48152898,-	RAPGEF3
T025391	chr12:48166834..48166882,+	SLC48A1
T025392	chr12:48166978..48167047,+	SLC48A1
T025394	chr12:48213650..48213695,-	HDAC7
T025395	chr12:48213735..48213759,-	HDAC7
T025398	chr12:48214345..48214362,-	HDAC7
T025402	chr12:48238411..48238430,-	VDR
T025405	chr12:48276548..48276564,-	VDR
T025416	chr12:48298785..48298828,-	VDR
T025420	chr12:48357340..48357397,+	TMEM106C
T025427	chr12:48398250..48398267,-	COL2A1
T025428	chr12:48398282..48398296,-	COL2A1
T025429	chr12:48499121..48499142,+	PFKM
T025430	chr12:48499252..48499282,+	PFKM
T025431	chr12:48499569..48499576,-	SENP1
T025432	chr12:48499597..48499663,-	SENP1
T025433	chr12:48499771..48499788,-	SENP1
T025434	chr12:48499791..48499822,-	SENP1
T025435	chr12:48499826..48499879,-	SENP1
T025436	chr12:48499883..48499915,+	PFKM
T025437	chr12:48499885..48499909,-	SENP1
T025438	chr12:48499943..48499965,+	PFKM
T025439	chr12:48500056..48500067,-	SENP1
T025440	chr12:48500085..48500099,-	SENP1
T025441	chr12:48513027..48513036,+	PFKM
T025442	chr12:48513078..48513087,+	PFKM
T025443	chr12:48513106..48513157,+	PFKM
T025451	chr12:48551261..48551313,-	ASB8
T025452	chr12:48551336..48551357,-	ASB8
T025453	chr12:48551366..48551383,-	ASB8
T025455	chr12:48577385..48577456,+	C12orf68
T025456	chr12:48577627..48577645,+	C12orf68
T025457	chr12:48577882..48577906,+	C12orf68
T025462	chr12:4872943..4872966,+	GALNT8
T025463	chr12:48744642..48744733,-	ZNF641
T025470	chr12:49075982..49076001,-	KANSL2
T025471	chr12:49076002..49076043,-	KANSL2
T025472	chr12:49090019..49090023,-	CCNT1
T025473	chr12:49110458..49110567,-	CCNT1
T025474	chr12:49110588..49110593,-	CCNT1
T025475	chr12:49110613..49110629,-	CCNT1
T025483	chr12:49182783..49182886,-	ADCY6
T025485	chr12:4918492..4918527,+	KCNA6
T025486	chr12:49208243..49208282,+	CACNB3
T025488	chr12:49209348..49209399,+	CACNB3
T025489	chr12:49212261..49212319,+	CACNB3
T025490	chr12:49212518..49212599,+	CACNB3
T025496	chr12:49245916..49245932,-	DDX23
T025497	chr12:49245936..49245955,-	DDX23
T025499	chr12:49259643..49259659,-	RND1
T025500	chr12:49297887..49297898,+	CCDC65
T025501	chr12:49297899..49297955,+	CCDC65
T025504	chr12:49318715..49318781,-	FKBP11
T025505	chr12:49319265..49319309,-	FKBP11
T025506	chr12:49319315..49319335,-	FKBP11
T025514	chr12:49334751..49334764,-	ARF3
T025515	chr12:49334866..49334877,-	ARF3
T025516	chr12:49351191..49351222,-	ARF3
T025517	chr12:49351229..49351282,-	ARF3
T025519	chr12:49351303..49351314,-	ARF3
T025521	chr12:49365510..49365525,-	WNT10B
T025528	chr12:49372099..49372110,+	WNT1
T025530	chr12:49372251..49372263,+	WNT1
T025541	chr12:49393148..49393164,-	DDN
T025545	chr12:49393215..49393227,-	DDN
T025551	chr12:49412370..49412383,-	PRKAG1
T025552	chr12:49412525..49412539,-	PRKAG1
T025553	chr12:49412541..49412580,-	PRKAG1
T025554	chr12:49412588..49412594,-	PRKAG1
T025556	chr12:49413189..49413203,-	PRKAG1
T025557	chr12:49413577..49413581,-	MLL2
T025558	chr12:49445907..49445923,-	MLL2
T025559	chr12:49445984..49446002,-	MLL2
T025560	chr12:49446120..49446135,-	MLL2
T025563	chr12:49454026..49454049,-	MLL2
T025569	chr12:49463680..49463724,-	RHEBL1
T025570	chr12:49463753..49463770,-	RHEBL1
T025574	chr12:49488573..49488590,-	DHH
T025575	chr12:49504449..49504504,-	LMBR1L
T025576	chr12:49504623..49504639,-	LMBR1L
T025577	chr12:49504655..49504686,-	LMBR1L
T025582	chr12:49523320..49523345,-	TUBA1B
T025583	chr12:49523364..49523381,-	TUBA1B
T025585	chr12:49524045..49524086,-	TUBA1B
T025587	chr12:49524124..49524134,-	TUBA1B
T025589	chr12:49525175..49525180,-	TUBA1B
T025594	chr12:49579363..49579390,-	TUBA1A
T025596	chr12:49579513..49579526,-	TUBA1A
T025597	chr12:49579639..49579664,-	TUBA1A
T025598	chr12:49579761..49579773,-	TUBA1A
T025600	chr12:49580194..49580236,-	TUBA1A
T025601	chr12:49580269..49580316,-	TUBA1A
T025604	chr12:49582225..49582269,-	TUBA1A
T025605	chr12:49582273..49582301,-	TUBA1A
T025606	chr12:49582553..49582579,+	TUBA1C
T025608	chr12:49582787..49582816,-	TUBA1A
T025609	chr12:49582821..49582827,-	TUBA1A
T025610	chr12:49582837..49582875,-	TUBA1A
T025611	chr12:49582978..49582985,-	TUBA1A
T025624	chr12:49658855..49658874,+	TUBA1C
T025625	chr12:49663374..49663398,+	TUBA1C
T025626	chr12:49663609..49663634,+	TUBA1C
T025630	chr12:49688923..49688936,+	PRPH
T025637	chr12:49717021..49717079,+	TROAP
T025638	chr12:49717081..49717088,+	TROAP
T025641	chr12:49730970..49731010,-	C1QL4
T025642	chr12:49740668..49740676,+	DNAJC22
T025643	chr12:49740705..49740721,+	DNAJC22
T025646	chr12:49760674..49760697,+	SPATS2
T025647	chr12:49761067..49761114,+	SPATS2
T025648	chr12:49761147..49761166,+	SPATS2
T025649	chr12:49761224..49761259,+	SPATS2
T025650	chr12:49761273..49761306,+	SPATS2
T025652	chr12:498415..498492,-	KDM5A
T025653	chr12:498500..498529,+	CCDC77
T025654	chr12:498545..498569,+	CCDC77
T025655	chr12:498671..498693,-	KDM5A
T025656	chr12:498695..498748,-	KDM5A
T025659	chr12:49932805..49932858,+	KCNH3
T025662	chr12:49953508..49953512,-	MCRS1
T025664	chr12:49961883..49961933,-	MCRS1
T025665	chr12:49961990..49962011,+	PRPF40B
T025668	chr12:50017184..50017214,+	PRPF40B
T025669	chr12:50017327..50017359,+	PRPF40B
T025683	chr12:50101052..50101084,-	FMNL3
T025684	chr12:50101091..50101120,-	FMNL3
T025685	chr12:50101165..50101259,-	FMNL3
T025686	chr12:50101500..50101550,+	TMBIM6
T025687	chr12:50132705..50132734,+	TMBIM6
T025688	chr12:50135333..50135346,+	TMBIM6
T025689	chr12:50135352..50135356,+	TMBIM6
T025690	chr12:50135588..50135602,+	TMBIM6
T025691	chr12:50135615..50135625,+	TMBIM6
T025692	chr12:50135638..50135673,+	TMBIM6
T025693	chr12:50135914..50135940,+	TMBIM6
T025694	chr12:50135941..50135973,+	TMBIM6
T025696	chr12:50135980..50135993,+	TMBIM6
T025699	chr12:50144381..50144455,+	TMBIM6
T025700	chr12:50146826..50146836,+	TMBIM6
T025702	chr12:50152154..50152175,+	TMBIM6
T025703	chr12:50152458..50152473,+	TMBIM6
T025704	chr12:50152485..50152516,+	TMBIM6
T025705	chr12:50152616..50152619,+	TMBIM6
T025706	chr12:50152996..50153045,+	TMBIM6
T025707	chr12:50156662..50156776,+	TMBIM6
T025708	chr12:50156852..50156892,+	TMBIM6
T025709	chr12:50157036..50157066,+	TMBIM6
T025714	chr12:5019061..5019078,+	KCNA1
T025723	chr12:50222179..50222182,-	NCKAP5L
T025724	chr12:50222187..50222203,-	NCKAP5L
T025726	chr12:50222812..50222817,-	NCKAP5L
T025728	chr12:50236755..50236768,-	BCDIN3D
T025729	chr12:50236875..50236901,-	BCDIN3D
T025730	chr12:50236907..50236916,-	BCDIN3D
T025751	chr12:50297638..50297691,-	FAIM2
T025775	chr12:50355647..50355661,+	AQP5
T025786	chr12:50419141..50419170,-	RACGAP1
T025787	chr12:50419177..50419285,-	RACGAP1
T025788	chr12:50451133..50451188,+	ACCN2
T025789	chr12:50451363..50451429,+	ACCN2
T025790	chr12:50451462..50451473,+	ACCN2
T025792	chr12:50478977..50479040,+	SMARCD1
T025793	chr12:50479101..50479108,+	SMARCD1
T025794	chr12:50479109..50479146,+	SMARCD1
T025801	chr12:50497784..50497802,+	GPD1
T025808	chr12:50505811..50505822,+	C12orf62
T025809	chr12:50505950..50505962,+	C12orf62
T025810	chr12:50505963..50506033,+	C12orf62
T025812	chr12:50561075..50561180,-	CERS5
T025813	chr12:50561282..50561310,-	CERS5
T025818	chr12:50571238..50571249,-	LIMA1
T025821	chr12:50616353..50616362,-	LIMA1
T025823	chr12:50616382..50616505,-	LIMA1
T025828	chr12:50643695..50643708,-	LIMA1
T025830	chr12:50677255..50677324,-	LIMA1
T025833	chr12:50794618..50794729,+	LARP4
T025834	chr12:50794730..50794756,+	LARP4
T025835	chr12:50794921..50794937,+	LARP4
T025836	chr12:50794947..50794958,+	LARP4
T025840	chr12:50898753..50898817,+	DIP2B
T025841	chr12:50898821..50898822,+	DIP2B
T025842	chr12:50898836..50898845,+	DIP2B
T025843	chr12:50898866..50898876,+	DIP2B
T025844	chr12:50898881..50898907,+	DIP2B
T025860	chr12:510764..510782,+	CCDC77
T025861	chr12:510795..510835,+	CCDC77
T025865	chr12:51157232..51157277,+	ATF1
T025867	chr12:51157744..51157796,+	ATF1
T025868	chr12:51157837..51157892,+	ATF1
T025869	chr12:51158359..51158395,+	ATF1
T025872	chr12:51317806..51317834,+	METTL7A
T025873	chr12:51318389..51318399,+	METTL7A
T025874	chr12:51318401..51318412,+	METTL7A
T025876	chr12:51318464..51318492,+	METTL7A
T025879	chr12:51318790..51318817,+	METTL7A
T025880	chr12:51323891..51323918,+	METTL7A
T025881	chr12:51324072..51324075,+	METTL7A
T025882	chr12:51324615..51324624,+	METTL7A
T025887	chr12:51402938..51402955,-	SLC11A2
T025888	chr12:51402984..51403042,-	SLC11A2
T025891	chr12:51404533..51404557,-	SLC11A2
T025893	chr12:51420055..51420066,-	SLC11A2
T025894	chr12:51420108..51420124,-	SLC11A2
T025895	chr12:51420128..51420181,-	SLC11A2
T025896	chr12:51422017..51422036,-	SLC11A2
T025898	chr12:51442103..51442127,+	LETMD1
T025899	chr12:51442181..51442184,+	LETMD1
T025900	chr12:51477368..51477386,-	CSRNP2
T025903	chr12:5153018..5153070,+	KCNA5
T025906	chr12:5153193..5153203,+	KCNA5
T025907	chr12:51566562..51566584,-	TFCP2
T025908	chr12:51566592..51566617,-	TFCP2
T025909	chr12:51566849..51566927,-	TFCP2
T025910	chr12:51611583..51611612,-	POU6F1
T025911	chr12:51611632..51611647,-	POU6F1
T025912	chr12:51611660..51611692,-	POU6F1
T025913	chr12:51611694..51611719,-	POU6F1
T025914	chr12:51611815..51611855,-	POU6F1
T025915	chr12:51611888..51611917,-	POU6F1
T025916	chr12:51632566..51632571,+	DAZAP2
T025917	chr12:51632600..51632620,+	DAZAP2
T025918	chr12:51632625..51632630,+	DAZAP2
T025922	chr12:51633061..51633095,+	DAZAP2
T025932	chr12:51663502..51663523,-	SMAGP
T025933	chr12:51663682..51663727,-	SMAGP
T025934	chr12:51663728..51663794,-	SMAGP
T025936	chr12:51663959..51664001,-	SMAGP
T025938	chr12:51664058..51664075,-	SMAGP
T025939	chr12:51664135..51664216,-	SMAGP
T025940	chr12:51664289..51664301,-	SMAGP
T025945	chr12:51717875..51717920,-	BIN2
T025947	chr12:51717949..51717976,-	BIN2
T025955	chr12:51785057..51785105,+	SLC4A8
T025957	chr12:51785182..51785197,-	GALNT6
T025958	chr12:51785208..51785260,+	SLC4A8
T025959	chr12:51785393..51785469,-	GALNT6
T025960	chr12:51785511..51785525,+	SLC4A8
T025965	chr12:51818586..51818663,+	SLC4A8
T025966	chr12:51818674..51818705,+	SLC4A8
T025968	chr12:51818749..51818762,+	SLC4A8
T025978	chr12:51985001..51985037,+	SCN8A
T025979	chr12:51985054..51985065,+	SCN8A
T025980	chr12:51985072..51985086,+	SCN8A
T025997	chr12:52281872..52281902,+	ANKRD33
T026002	chr12:52300721..52300741,+	ACVRL1
T026005	chr12:52301235..52301246,+	ACVRL1
T026007	chr12:52306161..52306194,+	ACVRL1
T026010	chr12:52345448..52345532,+	ACVR1B
T026016	chr12:52400719..52400736,+	GRASP
T026017	chr12:52401484..52401505,-	GRASPOS
T026019	chr12:52404270..52404301,+	GRASP
T026033	chr12:52430835..52430843,+	NR4A1
T026034	chr12:52430849..52430860,+	NR4A1
T026035	chr12:52430894..52430952,+	NR4A1
T026036	chr12:52431016..52431071,+	NR4A1
T026039	chr12:52437488..52437507,+	NR4A1
T026044	chr12:52445218..52445237,+	NR4A1
T026053	chr12:52449834..52449859,+	NR4A1
T026054	chr12:52450298..52450331,+	NR4A1
T026056	chr12:52451146..52451163,+	NR4A1
T026057	chr12:52463751..52463814,+	C12orf44
T026058	chr12:52463884..52463905,+	C12orf44
T026088	chr12:52585791..52585806,-	KRT80
T026098	chr12:52626432..52626475,+	KRT7
T026101	chr12:52627019..52627037,+	KRT7
T026109	chr12:52635246..52635267,+	KRT7
T026114	chr12:52638080..52638092,+	KRT7
T026115	chr12:52638104..52638157,+	KRT7
T026119	chr12:52638354..52638365,+	KRT7
T026127	chr12:52643022..52643063,+	KRT86
T026138	chr12:52681922..52681934,-	KRT81
T026143	chr12:52702381..52702415,-	KRT81
T026183	chr12:52887034..52887049,-	KRT6A
T026248	chr12:52914170..52914185,-	KRT5
T026350	chr12:53298570..53298600,-	KRT8
T026353	chr12:53298841..53298867,-	KRT8
T026354	chr12:53298886..53298895,-	KRT8
T026355	chr12:53301072..53301086,-	KRT8
T026358	chr12:53320245..53320259,-	KRT8
T026359	chr12:53342625..53342694,+	KRT18
T026360	chr12:53342893..53342911,+	KRT18
T026362	chr12:53343573..53343584,-	KRT8
T026364	chr12:53343633..53343696,-	KRT8
T026365	chr12:53343709..53343716,-	KRT8
T026376	chr12:53400046..53400071,+	EIF4B
T026377	chr12:53400091..53400102,+	EIF4B
T026378	chr12:53400176..53400271,+	EIF4B
T026386	chr12:53440773..53440789,+	TENC1
T026391	chr12:53443798..53443858,+	TENC1
T026392	chr12:53443945..53443959,+	TENC1
T026393	chr12:53443963..53443970,+	TENC1
T026395	chr12:53447419..53447425,+	TENC1
T026397	chr12:53453358..53453380,+	TENC1
T026398	chr12:53455252..53455256,+	TENC1
T026399	chr12:53460476..53460481,-	SPRYD3
T026400	chr12:53473136..53473191,-	SPRYD3
T026402	chr12:53491441..53491458,+	IGFBP6
T026405	chr12:53492630..53492661,+	IGFBP6
T026414	chr12:53535758..53535789,+	HIGD1AP1
T026419	chr12:53574338..53574358,+	ZNF740
T026420	chr12:53574376..53574395,-	CSAD
T026421	chr12:53574398..53574412,+	ZNF740
T026422	chr12:53574401..53574416,-	CSAD
T026423	chr12:53574418..53574448,-	CSAD
T026424	chr12:53574464..53574539,+	ZNF740
T026425	chr12:53574671..53574721,-	CSAD
T026428	chr12:53575120..53575143,-	CSAD
T026435	chr12:53601025..53601043,-	ITGB7
T026441	chr12:53613935..53613947,-	RARG
T026442	chr12:53614018..53614048,-	RARG
T026443	chr12:53614115..53614154,-	RARG
T026444	chr12:53614155..53614187,-	RARG
T026449	chr12:53625846..53625861,-	RARG
T026450	chr12:53625966..53626012,-	RARG
T026452	chr12:53645870..53645897,+	MFSD5
T026453	chr12:53645918..53645975,+	MFSD5
T026454	chr12:53645976..53645992,+	MFSD5
T026455	chr12:53662049..53662061,+	ESPL1
T026456	chr12:53662073..53662105,+	ESPL1
T026457	chr12:53662110..53662121,+	ESPL1
T026463	chr12:53689319..53689349,+	PFDN5
T026464	chr12:53689985..53690031,+	PFDN5
T026467	chr12:53693466..53693537,+	C12orf10
T026468	chr12:53693539..53693557,+	C12orf10
T026469	chr12:53693564..53693583,+	C12orf10
T026470	chr12:53693632..53693642,+	C12orf10
T026471	chr12:53693694..53693755,+	C12orf10
T026472	chr12:53693812..53693817,+	C12orf10
T026474	chr12:53708210..53708227,-	AAAS
T026475	chr12:53715027..53715096,-	AAAS
T026476	chr12:53715328..53715411,-	AAAS
T026487	chr12:53730126..53730146,-	SP7
T026492	chr12:53773927..53773943,+	SP1
T026493	chr12:53773944..53773993,+	SP1
T026494	chr12:53774025..53774031,+	SP1
T026495	chr12:53774035..53774058,+	SP1
T026497	chr12:53774567..53774658,+	SP1
T026498	chr12:53774749..53774754,+	SP1
T026499	chr12:53775047..53775065,+	SP1
T026500	chr12:53776949..53776964,+	SP1
T026503	chr12:53818855..53818919,+	AMHR2
T026505	chr12:53835383..53835399,+	PRR13
T026507	chr12:53835425..53835437,+	PCBP2
T026508	chr12:53835487..53835498,+	PRR13
T026509	chr12:53835508..53835533,+	PCBP2
T026510	chr12:53835539..53835556,+	PRR13
T026511	chr12:53835733..53835743,+	PRR13
T026512	chr12:53836453..53836474,+	PRR13
T026513	chr12:53845879..53845894,+	PCBP2
T026514	chr12:53846463..53846478,+	PCBP2
T026517	chr12:53846612..53846624,+	PCBP2
T026518	chr12:53847004..53847008,+	PCBP2
T026519	chr12:53848505..53848532,+	PCBP2
T026520	chr12:53848549..53848582,+	PCBP2
T026521	chr12:53848602..53848620,+	PCBP2
T026523	chr12:53853054..53853092,+	PCBP2
T026525	chr12:53854822..53854838,+	PCBP2
T026526	chr12:53856262..53856278,+	PCBP2
T026527	chr12:53856284..53856299,+	PCBP2
T026531	chr12:53862556..53862575,+	PCBP2
T026539	chr12:53893227..53893279,-	MAP3K12
T026540	chr12:53893435..53893478,-	MAP3K12
T026542	chr12:53894672..53894723,+	TARBP2
T026543	chr12:53895052..53895143,+	TARBP2
T026545	chr12:53895364..53895406,+	TARBP2
T026554	chr12:54019757..54019804,-	ATF7
T026555	chr12:54020107..54020196,-	ATF7
T026560	chr12:54063698..54063734,-	ATP5G2
